141,13,"Open",28,97,"Container","Excellent","-",,"∆",0,0,0,0,0,0,0,0,3,2,"0300",,,,,,0,0,0,0,0,0,,,,,,0,0,0,20,"0400",0,"0000","0000",,$30.00,$0.00,,,,,,,
142,14,"Open",28,97,"Container","Master","-",,"«",0,0,0,0,0,0,0,0,,3,"0400",,,,,,0,0,0,0,0,0,,,,,,0,0,0,20,"0500",0,"0000","0000",,$30.00,$0.00,,,,,,,
143,61,"Open",28,97,"Waitlist","-","-",,"»",0,0,0,0,0,0,0,0,,,"-",,,,,,1,0,0,0,0,0,,,,,,0,0,0,,"0000",1,"-","-","-",$30.00,$0.00,,,,,,,
145,10,"Open",36,97,"Container","Novice","A",," ",0,0,0,0,0,0,0,0,1,0,"0200",,,,,,0,0,0,0,0,0,,,,,,0,0,0,10,"0230",0,"0000","0000",,$30.00,$0.00,,,,,,,
146,11,"Open",36,97,"Container","Novice","B",,"À",0,0,0,0,0,0,0,0,1,0,"0200",,,,,,0,0,0,0,0,0,,,,,,0,0,0,10,"0230",0,"0000","0000",,$30.00,$0.00,,,,,,,
149,21,"Open",36,93,"Interior","Novice","B",,"Œ",0,0,0,0,0,0,0,0,1,0,"0000",,,,,,0,0,0,0,0,0,,,,,,0,0,0,,"0230",0,"0000","0000",,$30.00,$0.00,,,,,,,
151,23,"Open",36,93,"Interior","Excellent","-",,"–",0,0,0,0,0,0,0,0,3,2,"0000",,,,,,0,0,0,0,0,0,,,,,,0,0,0,,"0630",0,"0000","0000",,$30.00,$0.00,,,,,,,
153,61,"Open",36,93,"Waitlist","-","-",,"“",0,0,0,0,0,0,0,0,,,"-",,,,,,1,0,0,0,0,0,,,,,,0,0,0,,"0000",1,"-","-","-",$30.00,$0.00,,,,,,,
155,20,"Open",36,93,"Interior","Novice","A",,"‘",0,0,0,0,0,0,0,0,1,0,"0000",,,,,,0,0,0,0,0,0,,,,,,0,0,0,,"0230",0,"0000","0000",,$30.00,$0.00,,,,,,,
157,22,"Open",36,93,"Interior","Advanced","-",,"÷",0,0,0,0,0,0,0,0,2,1,"0000",,,,,,0,0,0,0,0,0,,,,,,0,0,0,,"0300",0,"0000","0000",,$30.00,$0.00,,,,,,,
159,24,"Open",36,93,"Interior","Master","-",,"ÿ",0,0,0,0,0,0,0,0,,3,"0000",,,,,,0,0,0,0,0,0,,,,,,0,0,0,,"0800",0,"0000","0000",,$30.00,$0.00,,,,,,,
161,12,"Open",36,97,"Container","Advanced","-",,"⁄",0,0,0,0,0,0,0,0,2,1,"0200",,,,,,0,0,0,0,0,0,,,,,,0,0,0,15,"0300",0,"0000","0000",,$30.00,$0.00,,,,,,,
162,13,"Open",36,97,"Container","Excellent","-",,"€",0,0,0,0,0,0,0,0,3,2,"0300",,,,,,0,0,0,0,0,0,,,,,,0,0,0,20,"0400",0,"0000","0000",,$30.00,$0.00,,,,,,,
163,14,"Open",36,97,"Container","Master","-",,"‹",0,0,0,0,0,0,0,0,,3,"0400",,,,,,0,0,0,0,0,0,,,,,,0,0,0,20,"0500",0,"0000","0000",,$30.00,$0.00,,,,,,,
165,50,"Open",28,93,"Handler Discrimination","Novice","A",,"ﬁ",0,0,0,0,0,0,0,0,1,0,"0200",,,,,,1,0,0,0,0,0,,,,,,0,0,0,10,"0230",0,"0000","0000",,$28.00,$0.00,,,,,,,
166,51,"Open",28,93,"Handler Discrimination","Novice","B",,"ﬂ",0,0,0,0,0,0,0,0,1,0,"0200",,,,,,1,0,0,0,0,0,,,,,,0,0,0,10,"0230",0,"0000","0000",,$28.00,$0.00,,,,,,,
168,30,"Open",36,93,"Exterior","Novice","A",,"·",0,0,0,0,0,0,0,0,1,0,"0000",,,,,,0,0,0,0,0,0,,,,,,0,0,0,,"0230",0,"0000","0000",,$28.00,$0.00,,,,,,,
169,31,"Open",36,93,"Exterior","Novice","B",,"‚",0,0,0,0,0,0,0,0,1,0,"0000",,,,,,0,0,0,0,0,0,,,,,,0,0,0,,"0230",0,"0000","0000",,$28.00,$0.00,,,,,,,
