278445,150,10,51
278446,150,10,51
278447,150,10,51
278448,151,10,124
278449,151,10,124
278450,151,10,124
278451,151,10,124
278452,151,10,124
278453,151,10,124
278454,152,10,108
278455,152,10,108
278456,226,10,109
278457,237,10,88
278458,237,10,88
278459,250,10,132
278460,226,10,109
278461,248,10,122
278462,250,10,132
278463,154,10,57
278464,154,10,57
278465,154,10,57
278466,155,10,58
278467,155,10,58
278468,156,10,76
278469,156,10,76
278470,156,10,76
278471,248,10,122
278472,158,10,63
278473,158,10,63
278474,158,10,63
278475,158,10,63
278476,159,10,125
278477,159,10,125
278478,159,10,125
278479,160,10,127
278480,160,10,127
278481,160,10,127
278482,161,10,128
278483,161,10,128
278484,161,10,128
278485,171,10,82
278486,171,10,82
278487,171,10,82
278488,162,10,72
278489,162,10,72
278490,162,10,72
278491,163,10,73
278492,163,10,73
278493,163,10,73
278494,165,10,69
278495,165,10,69
278496,165,10,69
278497,165,10,69
278498,166,10,70
278499,166,10,70
278500,166,10,70
278501,166,10,70
278502,166,10,70
278503,166,10,70
278504,167,10,56
278505,167,10,56
278506,167,10,56
278507,168,10,55
278508,168,10,55
278509,168,10,55
278510,169,10,101
278511,169,10,101
278512,169,10,101
278513,170,10,99
278514,170,10,99
278515,170,10,99
278516,170,10,99
278517,170,10,99
278518,171,10,82
278519,172,10,54
278520,172,10,54
278521,172,10,54
278522,172,10,54
278523,215,10,143
278524,222,10,135
278525,222,10,135
278526,229,10,84
278527,229,10,84
278528,240,10,138
278529,240,10,138
278530,242,10,130
278531,242,10,130
278532,243,10,90
278533,243,10,90
278534,247,10,129
278535,247,10,129
278536,210,10,133
278537,210,10,133
278538,215,10,143
278539,216,10,141
278540,216,10,141
278541,217,10,134
278542,217,10,134
278543,219,10,83
278544,234,10,96
278545,234,10,96
278546,240,10,138
278547,240,10,138
278548,249,10,131
278549,249,10,131
278550,250,10,132
278551,251,10,103
278552,241,10,136
278553,241,10,136
278554,241,10,136
278555,241,10,136
278556,242,10,130
278557,243,10,90
278558,243,10,90
278559,248,10,122
278560,251,10,103
278561,252,10,104
278562,252,10,104
278563,253,10,152
278564,253,10,152
278565,254,10,151
278566,254,10,151
278567,255,10,153
278568,190,10,107
278569,190,10,107
278570,190,10,107
278571,209,10,140
278572,209,10,140
278573,255,10,153
278574,256,10,154
278575,256,10,154
278576,257,10,155
278577,257,10,155
278578,258,10,157
278579,258,10,157
278580,259,10,158
278581,259,10,158
278582,260,10,159
278583,260,10,159
278584,192,10,106
278585,192,10,106
278586,192,10,106
278587,195,10,142
278588,196,10,146
278589,197,10,147
278590,198,10,67
278591,198,10,67
278592,198,10,67
278593,198,10,67
278594,208,10,110
278595,208,10,110
278596,261,10,160
278597,261,10,160
278598,262,10,161
278599,262,10,161
278600,199,10,148
278601,199,10,148
278602,200,10,102
278603,200,10,102
278604,200,10,102
278605,200,10,102
278606,201,10,100
278607,201,10,100
278608,201,10,100
278609,201,10,100
278610,202,10,98
278611,202,10,98
278612,203,10,74
278613,203,10,74
278614,203,10,74
278615,204,10,93
278616,204,10,93
278617,204,10,93
278618,205,10,149
278619,205,10,149
278620,205,10,149
278621,205,10,149
278622,206,10,150
278623,206,10,150
278624,206,10,150
278625,206,10,150
278626,207,10,111
278627,207,10,111
278628,263,10,86
278629,263,10,86
278630,264,10,162
278631,264,10,162
278632,265,10,163
278633,265,10,163
278634,0,0,53
278635,0,0,59
278636,0,0,60
278637,0,0,61
278638,0,0,64
278639,0,0,65
278640,0,0,68
278641,0,0,75
278642,0,0,78
278643,0,0,79
278644,0,0,81
278645,0,0,85
278646,0,0,87
278647,0,0,89
278648,0,0,92
278649,0,0,94
278650,0,0,95
278651,0,0,97
278652,0,0,105
278653,0,0,112
278654,0,0,113
278655,0,0,114
278656,0,0,115
278657,0,0,116
278658,0,0,117
278659,0,0,120
278660,0,0,121
278661,0,0,123
